MR_Sys_No,Acct_No,Mtr_No,PrevMR_Date,MR_Date,Prev_Rdg,Cur_Rdg,Cur_Consumption,Rdg_Adj,ChngdMtr_Adj,ChngdMtr_Cons,MR_Status,Remarks,Emp_ID,Time_stamp,User_ID,midentity
359963,411206624,602438,3/4/2019,4/4/2019,882,892,10,0,0,0,2,,0,4/8/19 8:20,WIN,1972464
359964,411206626,140912256,3/4/2019,4/4/2019,786,812,26,0,0,0,2,,0,4/8/19 8:20,WIN,1972465
359965,411206628,ED-18-15-10230,3/4/2019,4/4/2019,17,37,20,0,0,0,2,,0,4/8/19 8:20,WIN,1972466
360072,411206630,140105064,1/4/2019,4/4/2019,669,680,11,0,0,0,2,,0,4/8/19 8:25,WIN,1972573
359966,411206631,140105013,3/4/2019,4/4/2019,486,496,10,0,0,0,2,,0,4/8/19 8:20,WIN,1972467
359967,411206632,140106463,3/4/2019,4/4/2019,377,384,7,0,0,0,2,,0,4/8/19 8:20,WIN,1972468
359968,411206633,140106573,3/4/2019,4/4/2019,735,756,21,0,0,0,2,,0,4/8/19 8:20,WIN,1972469
360144,411206634,140106576,3/5/2019,4/5/2019,7,24,17,0,0,0,2,,0,4/8/19 17:16,WIN,1972645
360145,411206635,140105012,3/5/2019,4/5/2019,771,791,20,0,0,0,2,,0,4/8/19 17:16,WIN,1972646
360146,411206637,140106483,3/5/2019,4/5/2019,631,649,18,0,0,0,2,,0,4/8/19 17:16,WIN,1972647
359969,411206638,40912026,3/4/2019,4/4/2019,504,513,9,0,0,0,2,,0,4/8/19 8:20,WIN,1972470
359970,411206639,140105213,3/4/2019,4/4/2019,551,558,7,0,0,0,2,,0,4/8/19 8:20,WIN,1972471
359971,411206640,140106772,3/4/2019,4/4/2019,352,365,13,0,0,0,2,,0,4/8/19 8:20,WIN,1972472
359972,411206642,140166757,3/4/2019,4/4/2019,56,63,7,0,0,0,2,,0,4/8/19 8:20,WIN,1972473
359973,411206643,140106529,3/4/2019,4/4/2019,480,493,13,0,0,0,2,,0,4/8/19 8:20,WIN,1972474
359974,411206645,150200570,3/4/2019,4/4/2019,419,433,14,0,0,0,2,,0,4/8/19 8:20,WIN,1972475
359975,411206646,13784,3/4/2019,4/4/2019,680,689,9,0,0,0,2,,0,4/8/19 8:20,WIN,1972476
359976,411206647,150202890,3/4/2019,4/4/2019,388,399,11,0,0,0,2,,0,4/8/19 8:20,WIN,1972477
359977,411206648,140812228,3/4/2019,4/4/2019,365,377,12,0,0,0,2,,0,4/8/19 8:20,WIN,1972478
359978,411206650,150202884,3/4/2019,4/4/2019,456,461,5,0,0,0,2,,0,4/8/19 8:20,WIN,1972479
359979,411206651,1603,3/4/2019,4/4/2019,475,484,9,0,0,0,2,,0,4/8/19 8:20,WIN,1972480
359980,411206652,1874,3/4/2019,4/4/2019,543,563,20,0,0,0,2,,0,4/8/19 8:20,WIN,1972481
359981,411206653,77,3/4/2019,4/4/2019,430,443,13,0,0,0,2,,0,4/8/19 8:20,WIN,1972482
359982,411206654,150903293,3/4/2019,4/4/2019,403,417,14,0,0,0,2,,0,4/8/19 8:20,WIN,1972483
359983,411206655,150903497,3/4/2019,4/4/2019,433,439,6,0,0,0,2,,0,4/8/19 8:20,WIN,1972484
359984,411206657,150913733,3/4/2019,4/4/2019,424,438,14,0,0,0,2,,0,4/8/19 8:20,WIN,1972485
359985,411206658,1100520,3/4/2019,4/4/2019,471,478,7,0,0,0,2,,0,4/8/19 8:20,WIN,1972486
359986,411206659,1100731,3/4/2019,4/4/2019,756,759,3,0,0,0,2,,0,4/8/19 8:20,WIN,1972487
359987,411206660,160134054,3/4/2019,4/4/2019,321,332,11,0,0,0,2,,0,4/8/19 8:20,WIN,1972488
359988,411206661,02991-1,3/4/2019,4/4/2019,554,573,19,0,0,0,2,,0,4/8/19 8:20,WIN,1972489
359989,411206662,160134064,3/4/2019,4/4/2019,420,431,11,0,0,0,2,,0,4/8/19 8:20,WIN,1972490
359990,411206663,160134071,3/4/2019,4/4/2019,303,314,11,0,0,0,2,,0,4/8/19 8:20,WIN,1972491
359991,411206664,160131496,3/4/2019,4/4/2019,275,285,10,0,0,0,2,,0,4/8/19 8:20,WIN,1972492
359992,411206665,150715703,3/4/2019,4/4/2019,67,69,2,0,0,0,2,,0,4/8/19 8:20,WIN,1972493
359993,411206666,150715705,3/4/2019,4/4/2019,364,376,12,0,0,0,2,,0,4/8/19 8:20,WIN,1972494
359994,411206667,160133750,3/4/2019,4/4/2019,192,194,2,0,0,0,2,,0,4/8/19 8:20,WIN,1972495
359995,411206668,160541483,3/4/2019,4/4/2019,199,207,8,0,0,0,2,,0,4/8/19 8:20,WIN,1972496
359996,411206669,160650454,3/4/2019,4/4/2019,294,305,11,0,0,0,2,,0,4/8/19 8:20,WIN,1972497
359997,411206670,160540666,3/4/2019,4/4/2019,372,383,11,0,0,0,2,,0,4/8/19 8:20,WIN,1972498
359998,411206672,17NB027907,3/4/2019,4/4/2019,328,349,21,0,0,0,2,,0,4/8/19 8:20,WIN,1972499
359999,411206673,160136384,3/4/2019,4/4/2019,198,207,9,0,0,0,2,,0,4/8/19 8:20,WIN,1972500
360000,411206674,160134010,3/4/2019,4/4/2019,249,263,14,0,0,0,2,,0,4/8/19 8:20,WIN,1972501
360001,411206675,160761254,3/4/2019,4/4/2019,163,169,6,0,0,0,2,,0,4/8/19 8:20,WIN,1972502
360002,411206676,160761241,3/4/2019,4/4/2019,139,148,9,0,0,0,2,,0,4/8/19 8:20,WIN,1972503
360003,411206677,160761229,3/4/2019,4/4/2019,329,341,12,0,0,0,2,,0,4/8/19 8:20,WIN,1972504
360004,411206678,160870325,3/4/2019,4/4/2019,299,310,11,0,0,0,2,,0,4/8/19 8:20,WIN,1972505
360005,411206679,17NB027904,3/4/2019,4/4/2019,209,221,12,0,0,0,2,,0,4/8/19 8:20,WIN,1972506
360006,411206680,ED-18-15-10222,3/4/2019,4/4/2019,10,25,15,0,0,0,2,,0,4/8/19 8:20,WIN,1972507
360007,411206681,17NB036339,3/4/2019,4/4/2019,224,226,2,0,0,0,2,,0,4/8/19 8:20,WIN,1972508
360008,411206682,170382093,3/4/2019,4/4/2019,382,402,20,0,0,0,2,,0,4/8/19 8:20,WIN,1972509
360009,411206683,170382098,3/4/2019,4/4/2019,15,31,16,0,0,0,2,,0,4/8/19 8:20,WIN,1972510
360147,411206684,170382094,3/5/2019,4/5/2019,231,234,3,0,0,0,2,,0,4/8/19 17:16,WIN,1972648
360010,411206685,170382086,3/4/2019,4/4/2019,121,137,16,0,0,0,2,,0,4/8/19 8:20,WIN,1972511
360011,411206686,17nb033895,3/4/2019,4/4/2019,225,240,15,0,0,0,2,,0,4/8/19 8:20,WIN,1972512
360012,411206687,17NB028339,3/4/2019,4/4/2019,175,185,10,0,0,0,2,,0,4/8/19 8:20,WIN,1972513
360013,411206688,17NB029731,3/4/2019,4/4/2019,129,140,11,0,0,0,2,,0,4/8/19 8:20,WIN,1972514
360014,411206689,17NB044556,3/4/2019,4/4/2019,126,133,7,0,0,0,2,,0,4/8/19 8:20,WIN,1972515
360015,411206690,17NB040293,3/4/2019,4/4/2019,192,204,12,0,0,0,2,,0,4/8/19 8:20,WIN,1972516
360080,411206691,17NB040291,11/4/2018,4/4/2019,239,264,25,0,0,0,2,,0,4/8/19 13:18,WIN,1972581
360016,411206692,17NB045497,3/4/2019,4/4/2019,602,651,49,0,0,0,2,,0,4/8/19 8:20,WIN,1972517
360017,411206693,17NB045293,3/4/2019,4/4/2019,114,124,10,0,0,0,2,,0,4/8/19 8:20,WIN,1972518
360018,411206694,17NB045021,3/4/2019,4/4/2019,221,229,8,0,0,0,2,,0,4/8/19 8:20,WIN,1972519
360019,411206695,17NB045297,3/4/2019,4/4/2019,248,274,26,0,0,0,2,,0,4/8/19 8:20,WIN,1972520
360020,411206697,17NB044426,3/4/2019,4/4/2019,78,85,7,0,0,0,2,,0,4/8/19 8:20,WIN,1972521
360021,411206698,17NB043483,3/4/2019,4/4/2019,98,107,9,0,0,0,2,,0,4/8/19 8:20,WIN,1972522
360022,411206699,17NB044410,3/4/2019,4/4/2019,304,324,20,0,0,0,2,,0,4/8/19 8:20,WIN,1972523
360023,411206700,ED-18-15-10404,3/4/2019,4/4/2019,18,34,16,0,0,0,2,,0,4/8/19 8:20,WIN,1972524
360024,411206701,17NB039400,3/4/2019,4/4/2019,95,102,7,0,0,0,2,,0,4/8/19 8:20,WIN,1972525
360025,411206702,3040,3/4/2019,4/4/2019,572,589,17,0,0,0,2,,0,4/8/19 8:20,WIN,1972526
360026,411206703,17NB0339657,3/4/2019,4/4/2019,177,193,16,0,0,0,2,,0,4/8/19 8:20,WIN,1972527
360027,411206705,17NB042502,3/4/2019,4/4/2019,70,77,7,0,0,0,2,,0,4/8/19 8:20,WIN,1972528
360028,411206706,ED-18-15-10400,3/4/2019,4/4/2019,6,12,6,0,0,0,2,,0,4/8/19 8:20,WIN,1972529
360029,411206707,18NB0492795,3/4/2019,4/4/2019,49,55,6,0,0,0,2,,0,4/8/19 8:20,WIN,1972530
360030,411206708,ED-18-15-09425,3/4/2019,4/4/2019,8,20,12,0,0,0,2,,0,4/8/19 8:20,WIN,1972531
360031,411206709,17NB049285,3/4/2019,4/4/2019,74,83,9,0,0,0,2,,0,4/8/19 8:20,WIN,1972532
360032,411206710,160761245-OLD,3/4/2019,4/4/2019,677,703,26,0,0,0,2,,0,4/8/19 8:20,WIN,1972533
360033,411206713,031699-18,3/4/2019,4/4/2019,75,86,11,0,0,0,2,,0,4/8/19 8:20,WIN,1972534
360034,411206714,031946-18,3/4/2019,4/4/2019,140,164,24,0,0,0,2,,0,4/8/19 8:20,WIN,1972535
360035,411206715,021769-18,3/4/2019,4/4/2019,32,37,5,0,0,0,2,,0,4/8/19 8:20,WIN,1972536
360036,411206716,021808-18,3/4/2019,4/4/2019,127,155,28,0,0,0,2,,0,4/8/19 8:20,WIN,1972537
360037,411206717,021980-18,3/4/2019,4/4/2019,39,48,9,0,0,0,2,,0,4/8/19 8:20,WIN,1972538
360038,411206718,021975-18,3/4/2019,4/4/2019,21,25,4,0,0,0,2,,0,4/8/19 8:20,WIN,1972539
360039,411206719,17NB990612110,3/4/2019,4/4/2019,10,14,4,0,0,0,2,,0,4/8/19 8:20,WIN,1972540
360040,411206720,021807-18,3/4/2019,4/4/2019,28,47,19,0,0,0,2,,0,4/8/19 8:20,WIN,1972541
360041,411206721,17NB026986,3/4/2019,4/4/2019,2056,2061,5,0,0,0,2,,0,4/8/19 8:20,WIN,1972542
360074,411206722,140107993,3/6/2019,4/4/2019,666,669,3,0,0,0,2,,0,4/8/19 9:07,WIN,1972575
360042,411209321,ED-18-15-10239,3/4/2019,4/4/2019,18,37,19,0,0,0,2,,0,4/8/19 8:20,WIN,1972543
360043,413203330,70903111,3/4/2019,4/4/2019,42,52,10,0,0,0,2,,0,4/8/19 8:20,WIN,1972544
360044,414201394,ED-18-15-10036,3/4/2019,4/4/2019,17,32,15,0,0,0,2,,0,4/8/19 8:20,WIN,1972545
360045,414201420,ED-18-15-10304,3/4/2019,4/4/2019,16,31,15,0,0,0,2,,0,4/8/19 8:20,WIN,1972546
360046,414201780,ED-18-15-10100,3/4/2019,4/4/2019,1,3,2,0,0,0,2,,0,4/8/19 8:20,WIN,1972547
360047,414201830,ED-18-15-10104,3/4/2019,4/4/2019,12,26,14,0,0,0,2,,0,4/8/19 8:20,WIN,1972548
360048,414201970,ED-18-15-10096,3/4/2019,4/4/2019,14,38,24,0,0,0,2,,0,4/8/19 8:20,WIN,1972549
360049,414202010,8511448,3/4/2019,4/4/2019,896,900,4,0,0,0,2,,0,4/8/19 8:20,WIN,1972550
360050,414203250,981104391,3/4/2019,4/4/2019,7,24,17,0,0,0,2,,0,4/8/19 8:20,WIN,1972551
358500,415201990,101023802,3/1/2019,4/1/2019,874,886,12,0,0,0,2,,0,4/2/19 13:02,WIN,1971001
360148,511200010,160870376,3/5/2019,4/5/2019,517,555,38,0,0,0,2,,0,4/8/19 17:16,WIN,1972649
360149,511200020,91501032,3/5/2019,4/5/2019,5,17,12,0,0,0,2,,0,4/8/19 17:16,WIN,1972650
360150,511200040,87079784,3/5/2019,4/5/2019,1184,1192,8,0,0,0,2,,0,4/8/19 17:16,WIN,1972651
360151,511200050,ED-18-15-09691,3/5/2019,4/5/2019,14,31,17,0,0,0,2,,0,4/8/19 17:16,WIN,1972652
