10257631,111207719,11/1/2018,11/16/2018,2,341556,46.75,1,3,440,0
10257631,111207719,11/1/2018,11/16/2018,2,341556,46.75,1,7,467.5,0
10257631,111207719,11/1/2018,11/16/2018,2,341556,46.75,1,10,46.75,0
10257632,111200470,11/1/2018,11/16/2018,2,341334,25.35,1,3,249.45,249.45
10257632,111200470,11/1/2018,11/16/2018,2,341334,25.35,1,7,253.5,253.5
10257632,111200470,11/1/2018,11/16/2018,2,341334,25.35,1,10,25.35,25.35
10257633,111200480,11/1/2018,11/16/2018,2,341335,20,0,7,200,190
10257634,111200490,11/1/2018,11/16/2018,2,341336,20,1,7,200,200
10257634,111200490,11/1/2018,11/16/2018,2,341336,20,1,10,20,20
10257635,111200500,11/1/2018,11/16/2018,2,341337,36.05,0,7,360.5,360.5
10257636,111200510,11/1/2018,11/16/2018,2,341338,20,0,7,200,200
10257637,111200540,11/1/2018,11/16/2018,2,341339,22.7,0,3,220,220
10257637,111200540,11/1/2018,11/16/2018,2,341339,22.7,0,7,226.75,226.75
10257638,111207709,11/1/2018,11/16/2018,2,341550,25.35,0,3,220,220
10257638,111207709,11/1/2018,11/16/2018,2,341550,25.35,0,7,253.5,253.5
10257639,111200550,11/1/2018,11/16/2018,2,341340,20,0,7,200,200
10257640,111200560,11/1/2018,11/16/2018,2,341341,77.15,0,7,771.25,771.25
10257641,111200570,11/1/2018,11/16/2018,2,341342,20,0,7,200,200
10257642,111200580,11/1/2018,11/16/2018,2,341343,35,1,7,350,0
10257642,111200580,11/1/2018,11/16/2018,2,341343,35,1,10,35,0
10257643,111200590,11/1/2018,11/16/2018,2,341344,22.7,1,7,226.75,226.75
10257643,111200590,11/1/2018,11/16/2018,2,341344,22.7,1,10,22.7,22.7
10257644,111200600,11/1/2018,11/16/2018,2,341345,84.6,0,7,846,846
10257645,111207697,11/1/2018,11/16/2018,2,341540,441.7,0,7,4416.6,4416.6
10257646,111200610,11/1/2018,11/16/2018,2,341346,33.4,0,7,333.75,333.75
10257647,111200620,11/1/2018,11/16/2018,2,341347,706.15,0,3,4602.2,4602.2
10257647,111200620,11/1/2018,11/16/2018,2,341347,706.15,0,7,7061.4,7061.4
10257648,111200630,11/1/2018,11/16/2018,2,341348,850,0,3,1864.6,1864.6
10257648,111200630,11/1/2018,11/16/2018,2,341348,850,0,7,8499.8,8499.8
10257649,111200640,11/1/2018,11/16/2018,2,341349,46.75,0,7,467.5,467.5
10257650,111200650,11/1/2018,11/16/2018,2,341350,53.5,0,7,535,508.25
10257651,111200660,11/1/2018,11/16/2018,2,341351,46.75,0,7,467.5,467.5
10257652,113200670,11/1/2018,11/16/2018,2,341586,77.15,0,7,771.2,771.2
10257653,111200681,11/1/2018,11/16/2018,2,341352,50.15,0,7,501.25,476.19
10257654,114200680,11/1/2018,11/16/2018,2,341602,44.1,1,3,1192.4,1192.4
10257654,114200680,11/1/2018,11/16/2018,2,341602,44.1,1,7,440.75,440.75
10257654,114200680,11/1/2018,11/16/2018,2,341602,44.1,1,10,44.1,44.1
10257655,111200700,11/1/2018,11/16/2018,2,341353,38.75,0,7,387.25,387.25
10257656,111200710,11/1/2018,11/16/2018,2,341354,20,1,3,440,440
10257656,111200710,11/1/2018,11/16/2018,2,341354,20,1,7,200,0
10257656,111200710,11/1/2018,11/16/2018,2,341354,20,1,10,20,0
10257657,113200720,11/1/2018,11/16/2018,2,341587,30,1,7,300,300
10257657,113200720,11/1/2018,11/16/2018,2,341587,30,1,10,30,30
10257658,111207711,11/1/2018,11/16/2018,2,341552,277.6,0,7,2775.6,2775.6
10257659,111200730,11/1/2018,11/16/2018,2,341355,30.7,1,7,307,307
10257659,111200730,11/1/2018,11/16/2018,2,341355,30.7,1,10,30.7,30.7
10257660,111200740,11/1/2018,11/16/2018,2,341356,20,0,7,200,200
10257661,111207725,11/1/2018,11/16/2018,2,341562,80.5,0,7,805,805
10257662,111203180,11/1/2018,11/16/2018,2,341449,28.05,1,3,308.3,0
10257662,111203180,11/1/2018,11/16/2018,2,341449,28.05,1,7,280.25,280.25
10257662,111203180,11/1/2018,11/16/2018,2,341449,28.05,1,10,28.05,28.05
10257663,111201741,11/1/2018,11/16/2018,2,341397,80.5,1,3,2203.45,2203.45
10257663,111201741,11/1/2018,11/16/2018,2,341397,80.5,1,7,805,805
10257663,111201741,11/1/2018,11/16/2018,2,341397,80.5,1,10,80.5,80.5
10257664,111200760,11/1/2018,11/16/2018,2,341357,20,0,7,200,190
10257665,111203170,11/1/2018,11/16/2018,2,341448,25.35,0,7,253.5,253.5
10257666,111200780,11/1/2018,11/16/2018,2,341359,28.05,0,7,280.25,280.25
10257667,111200770,11/1/2018,11/16/2018,2,341358,41.4,1,7,414,414
10257667,111200770,11/1/2018,11/16/2018,2,341358,41.4,1,10,41.4,41.4
10257668,111207737,11/1/2018,11/16/2018,2,341573,25.35,0,7,253.5,253.5
10257669,111200790,11/1/2018,11/16/2018,2,341360,53.5,0,7,535,535
10257670,111200800,11/1/2018,11/16/2018,2,341361,20,0,7,200,200
10257671,111200840,11/1/2018,11/16/2018,2,341366,30.7,1,3,367.15,367.15
10257671,111200840,11/1/2018,11/16/2018,2,341366,30.7,1,7,307,0
10257671,111200840,11/1/2018,11/16/2018,2,341366,30.7,1,10,30.7,0
10257672,111200810,11/1/2018,11/16/2018,2,341363,38.75,1,3,455.4,455.4
10257672,111200810,11/1/2018,11/16/2018,2,341363,38.75,1,7,387.25,387.25
10257672,111200810,11/1/2018,11/16/2018,2,341363,38.75,1,10,38.75,38.75
10257673,111200820,11/1/2018,11/16/2018,2,341364,28.05,0,7,280.25,280.25
10257674,111200830,11/1/2018,11/16/2018,2,341365,60.25,1,3,999.1,999.1
10257674,111200830,11/1/2018,11/16/2018,2,341365,60.25,1,7,602.5,602.5
10257674,111200830,11/1/2018,11/16/2018,2,341365,60.25,1,10,60.25,60.25
10257675,111200842,11/1/2018,11/16/2018,2,341367,22.7,1,7,226.75,226.75
10257675,111200842,11/1/2018,11/16/2018,2,341367,22.7,1,10,22.7,22.7
10257676,111200870,11/1/2018,11/16/2018,2,341370,63.65,1,3,514.25,0
10257676,111200870,11/1/2018,11/16/2018,2,341370,63.65,1,7,636.25,636.25
10257676,111200870,11/1/2018,11/16/2018,2,341370,63.65,1,10,63.65,63.65
10257677,111200881,11/1/2018,11/16/2018,2,341371,30.7,0,7,307,307
10257678,111200882,11/1/2018,11/16/2018,2,341372,20,0,7,200,200
10257679,111200890,11/1/2018,11/16/2018,2,341373,20,0,3,220,220
10257679,111200890,11/1/2018,11/16/2018,2,341373,20,0,7,200,200
10257680,111200900,11/1/2018,11/16/2018,2,341374,41.4,0,7,414,414
10257681,111200910,11/1/2018,11/16/2018,2,341375,41.4,0,7,414,414
10257682,111200920,11/1/2018,11/16/2018,2,341376,56.9,0,7,568.75,568.75
10257683,111200860,11/1/2018,11/16/2018,2,341369,38.75,1,7,387.25,387.25
10257683,111200860,11/1/2018,11/16/2018,2,341369,38.75,1,10,38.75,38.75
10257684,111200850,11/1/2018,11/16/2018,2,341368,41.4,0,7,414,414
10257685,111200930,11/1/2018,11/16/2018,2,341377,38.75,1,3,1102.75,1102.75
10257685,111200930,11/1/2018,11/16/2018,2,341377,38.75,1,7,387.25,0
10257685,111200930,11/1/2018,11/16/2018,2,341377,38.75,1,10,38.75,0
10257686,111200931,11/1/2018,11/16/2018,2,341378,22.7,0,7,226.75,226.75
10257687,111200950,11/1/2018,11/16/2018,2,341380,20,0,7,200,200
10257688,111203190,11/1/2018,11/16/2018,2,341450,20,0,7,200,190
10257689,111200960,11/1/2018,11/16/2018,2,341381,25.35,0,7,253.5,253.5
10257690,111200961,11/1/2018,11/16/2018,2,341382,20,1,3,440,440
10257690,111200961,11/1/2018,11/16/2018,2,341382,20,1,7,200,0
10257690,111200961,11/1/2018,11/16/2018,2,341382,20,1,10,20,0
10257691,111200970,11/1/2018,11/16/2018,2,341383,36.05,1,7,360.5,360.5
10257691,111200970,11/1/2018,11/16/2018,2,341383,36.05,1,10,36.05,36.05
10257692,111200980,11/1/2018,11/16/2018,2,341384,20,0,7,200,200
10257693,111200990,11/1/2018,11/16/2018,2,341385,36.05,0,7,360.5,360.5
10257694,111201040,11/1/2018,11/16/2018,2,341388,30.7,1,3,734.25,734.25
10257694,111201040,11/1/2018,11/16/2018,2,341388,30.7,1,7,307,307
10257694,111201040,11/1/2018,11/16/2018,2,341388,30.7,1,10,30.7,30.7
10257695,111201020,11/1/2018,11/16/2018,2,341386,41.4,0,7,414,414
10257696,111201030,11/1/2018,11/16/2018,2,341387,20,0,3,220,220
10257696,111201030,11/1/2018,11/16/2018,2,341387,20,0,7,200,200
10257697,111207695,11/1/2018,11/16/2018,2,341539,33.4,1,7,333.75,333.75
10257697,111207695,11/1/2018,11/16/2018,2,341539,33.4,1,10,33.4,33.4
10257698,111201060,11/1/2018,11/16/2018,2,341389,20,0,7,200,200
10257699,111201070,11/1/2018,11/16/2018,2,341390,28.05,1,3,337.7,337.7
10257699,111201070,11/1/2018,11/16/2018,2,341390,28.05,1,7,280.25,280.25
10257699,111201070,11/1/2018,11/16/2018,2,341390,28.05,1,10,28.05,28.05
10257700,111201080,11/1/2018,11/16/2018,2,341391,88.7,1,3,811.25,811.25
10257700,111201080,11/1/2018,11/16/2018,2,341391,88.7,1,7,887,887
10257700,111201080,11/1/2018,11/16/2018,2,341391,88.7,1,10,88.7,88.7
10257701,111201090,11/1/2018,11/16/2018,2,341392,63.65,1,3,811.25,811.25
10257701,111201090,11/1/2018,11/16/2018,2,341392,63.65,1,7,636.25,125.1
10257701,111201090,11/1/2018,11/16/2018,2,341392,63.65,1,10,63.65,63.65
10257702,111201100,11/1/2018,11/16/2018,2,341393,36.05,1,7,360.5,360.5
10257702,111201100,11/1/2018,11/16/2018,2,341393,36.05,1,10,36.05,36.05
10257703,111201110,11/1/2018,11/16/2018,2,341394,41.4,0,7,414,414
10257704,111201120,11/1/2018,11/16/2018,2,341395,22.7,0,7,226.75,226.75
10257705,111201140,11/1/2018,11/16/2018,2,341396,33.4,0,7,333.75,333.75
10257706,111200940,11/1/2018,11/16/2018,2,341379,20,1,7,200,200
10257706,111200940,11/1/2018,11/16/2018,2,341379,20,1,10,20,20
10257707,111201780,11/1/2018,11/16/2018,2,341399,20,1,7,200,200
10257707,111201780,11/1/2018,11/16/2018,2,341399,20,1,10,20,20
10257708,111201790,11/1/2018,11/16/2018,2,341400,38.75,1,7,387.25,387.25
10257708,111201790,11/1/2018,11/16/2018,2,341400,38.75,1,10,38.75,38.75
10257709,111201820,11/1/2018,11/16/2018,2,341401,20,1,7,200,200
10257709,111201820,11/1/2018,11/16/2018,2,341401,20,1,10,20,20
10257710,111201760,11/1/2018,11/16/2018,2,341398,33.4,1,7,333.75,279.65
10257710,111201760,11/1/2018,11/16/2018,2,341398,33.4,1,10,33.4,33.4
10257711,111201840,11/1/2018,11/16/2018,2,341402,56.9,1,7,568.75,568.75
10257711,111201840,11/1/2018,11/16/2018,2,341402,56.9,1,10,56.9,56.9
10257712,111201860,11/1/2018,11/16/2018,2,341403,33.4,0,3,455.4,455.4
10257712,111201860,11/1/2018,11/16/2018,2,341403,33.4,0,7,333.75,333.75
10257713,111201890,11/1/2018,11/16/2018,2,341404,20,0,7,200,200
10257714,111201920,11/1/2018,11/16/2018,2,341405,113.3,1,3,1533.3,1533.3
10257714,111201920,11/1/2018,11/16/2018,2,341405,113.3,1,7,1133,0
10257714,111201920,11/1/2018,11/16/2018,2,341405,113.3,1,10,113.3,0
10257715,111207728,11/1/2018,11/16/2018,2,341565,20,0,7,200,200
10257716,111201940,11/1/2018,11/16/2018,2,341406,20,1,7,200,0
10257716,111201940,11/1/2018,11/16/2018,2,341406,20,1,10,20,0
10257717,111207701,11/1/2018,11/16/2018,2,341543,41.4,1,3,551.4,551.4
10257717,111207701,11/1/2018,11/16/2018,2,341543,41.4,1,7,414,0
10257717,111207701,11/1/2018,11/16/2018,2,341543,41.4,1,10,41.4,0
10257718,111202060,11/1/2018,11/16/2018,2,341407,44.1,1,3,1894.85,1894.85
10257718,111202060,11/1/2018,11/16/2018,2,341407,44.1,1,7,440.75,0
10257718,111202060,11/1/2018,11/16/2018,2,341407,44.1,1,10,44.1,0
10257719,111203311,11/1/2018,11/16/2018,2,341457,20,0,7,200,200
10257720,111207714,11/1/2018,11/16/2018,2,341553,25.35,1,3,955.65,955.65
10257720,111207714,11/1/2018,11/16/2018,2,341553,25.35,1,7,253.5,0
10257720,111207714,11/1/2018,11/16/2018,2,341553,25.35,1,10,25.35,0
10257721,111202100,11/1/2018,11/16/2018,2,341408,20,1,7,200,200
10257721,111202100,11/1/2018,11/16/2018,2,341408,20,1,10,20,20
10257722,111202110,11/1/2018,11/16/2018,2,341409,63.65,0,7,636.25,636.25
10257723,111207702,11/1/2018,11/16/2018,2,341544,50.15,1,3,551.4,551.4
10257723,111207702,11/1/2018,11/16/2018,2,341544,50.15,1,7,501.25,501.25
10257723,111207702,11/1/2018,11/16/2018,2,341544,50.15,1,10,50.15,50.15
10257724,120203310,11/1/2018,11/16/2018,2,341624,38.75,1,7,387.25,0
10257724,120203310,11/1/2018,11/16/2018,2,341624,38.75,1,10,38.75,0
10257725,111202180,11/1/2018,11/16/2018,2,341411,20,0,7,200,200
10257726,111202200,11/1/2018,11/16/2018,2,341412,36.05,1,3,337.7,0
10257726,111202200,11/1/2018,11/16/2018,2,341412,36.05,1,7,360.5,0
10257726,111202200,11/1/2018,11/16/2018,2,341412,36.05,1,10,36.05,0
10257727,111202210,11/1/2018,11/16/2018,2,341413,33.4,0,7,333.75,333.75
10257728,111202220,11/1/2018,11/16/2018,2,341414,41.4,0,7,414,414
10257729,111207694,11/1/2018,11/16/2018,2,341538,44.1,0,3,367.15,367.15
10257729,111207694,11/1/2018,11/16/2018,2,341538,44.1,0,7,440.75,440.75
10257730,111202270,11/1/2018,11/16/2018,2,341415,28.05,0,7,280.25,266.24
10257731,111207727,11/1/2018,11/16/2018,2,341564,28.05,0,7,280.25,280.25
10257732,111202300,11/1/2018,11/16/2018,2,341416,20,1,7,200,200
10257732,111202300,11/1/2018,11/16/2018,2,341416,20,1,10,20,20
10257733,111202310,11/1/2018,11/16/2018,2,341417,50.15,1,7,501.25,501.25
10257733,111202310,11/1/2018,11/16/2018,2,341417,50.15,1,10,50.15,50.15
10257734,111202340,11/1/2018,11/16/2018,2,341418,50.15,1,7,501.25,501.25
10257734,111202340,11/1/2018,11/16/2018,2,341418,50.15,1,10,50.15,50.15
10257735,111202360,11/1/2018,11/16/2018,2,341419,20,0,7,200,200
10257736,111202370,11/1/2018,11/16/2018,2,341420,22.7,0,7,226.75,226.75
10257737,111202400,11/1/2018,11/16/2018,2,341421,25.35,0,7,253.5,240.83
10257738,111202440,11/1/2018,11/16/2018,2,341422,22.7,0,7,226.75,226.75
10257739,211207090,11/1/2018,11/16/2018,2,341627,20,0,3,220,220
10257739,211207090,11/1/2018,11/16/2018,2,341627,20,0,7,200,200
10257740,111202470,11/1/2018,11/16/2018,2,341423,20,1,3,646,646
10257740,111202470,11/1/2018,11/16/2018,2,341423,20,1,7,200,0
10257740,111202470,11/1/2018,11/16/2018,2,341423,20,1,10,20,0
10257741,314205676,11/1/2018,11/16/2018,2,341639,33.4,0,7,333.75,317.07
10257742,111202540,11/1/2018,11/16/2018,2,341424,20,0,7,200,190
10257743,111200801,11/1/2018,11/16/2018,2,341362,63.65,0,7,636.25,636.25
10257744,111202550,11/1/2018,11/16/2018,2,341425,36.05,1,7,360.5,360.5
10257744,111202550,11/1/2018,11/16/2018,2,341425,36.05,1,10,36.05,36.05
10257745,111202560,11/1/2018,11/16/2018,2,341426,20,1,3,220,0
10257745,111202560,11/1/2018,11/16/2018,2,341426,20,1,7,200,200
10257745,111202560,11/1/2018,11/16/2018,2,341426,20,1,10,20,20
10257746,111202580,11/1/2018,11/16/2018,2,341427,84.6,1,7,846,0
10257746,111202580,11/1/2018,11/16/2018,2,341427,84.6,1,10,84.6,0
10257747,111202600,11/1/2018,11/16/2018,2,341428,20,0,7,200,200
10257748,117203300,11/1/2018,11/16/2018,2,341623,25.35,1,3,278.85,0
10257748,117203300,11/1/2018,11/16/2018,2,341623,25.35,1,7,253.5,253.5
10257748,117203300,11/1/2018,11/16/2018,2,341623,25.35,1,10,25.35,25.35
