"111202100","10261041","440","440","0","0"
"111202110","10261042","703.75","703.75","0","0"
"111202140","10261043","200","200","0","0"
"111207702","10261044","1251.3000000000002","1251.3000000000002","0","0"
"120203310","10261045","734.3","308.3","0","426"
"111202180","10261046","200","200","0","0"
"111202200","10261047","983.7","0","0","983.7"
"111202210","10261048","307","307","0","0"
"111202220","10261049","455.4","455.4","0","0"
"111207694","10261050","699.9","699.9","0","0"
"111202270","10261051","733.65","700.15","-33.5","0"
"111207727","10261052","200","200","0","0"
"111202300","10261053","200","200","0","0"
"111202310","10261054","484.85","484.85","0","0"
"111202340","10261055","535","535","0","0"
"111202360","10261056","200","200","0","0"
"111202370","10261057","253.5","253.5","0","0"
"111202400","10261058","200","190","-10","0"
"111202440","10261059","253.5","253.5","0","0"
"211207090","10261060","280.25","280.25","0","0"
"111202470","10261061","440","220","0","220"
"314205676","10261062","307","291.65","-15.35","0"
"111202540","10261063","200","190","-10","0"
"111200801","10261064","200","200","0","0"
"111202550","10261065","704.8499999999999","704.8499999999999","0","0"
"111202560","10261066","720.25","720.25","0","0"
"111202580","10261067","1861.1999999999998","930.6","0","930.6"
"111202600","10261068","220","220","0","0"
"117203300","10261069","777.7","777.7","0","0"
"111202620","10261070","1101.3999999999999","1101.3999999999999","0","0"
"111202670","10261071","703.75","703.75","0","0"
"111203312","10261072","307","307","0","0"
"114204150","10261073","200","200","0","0"
"112202700","10261074","1493.4","1493.4","0","0"
"112202710","10261075","854.75","854.75","0","0"
"112202720","10261076","1610","1610","0","0"
"111203280","10261077","1959.6","220","0","1739.6"
"111202650","10261078","200","200","0","0"
"111202840","10261079","2131.7999999999997","975.7","0","1156.1"
"111202860","10261080","200","200","0","0"
"111202880","10261081","1132.05","1132.05","0","0"
"111202894","10261082","675.4000000000001","675.4000000000001","0","0"
"111202900","10261083","805","805","0","0"
"111202920","10261084","414","393.3","-20.7","0"
"111202940","10261085","360.5","360.5","0","0"
"111202980","10261086","1539.8","1539.8","0","0"
"111203000","10261087","219","209","-10","0"
"111203020","10261088","539.85","529.85","-10","0"
"111207716","10261089","200","200","0","0"
"111203040","10261090","440","220","0","220"
"111203060","10261091","220","220","0","0"
"113203100","10261092","703.75","668.57","-35.18","0"
"111203140","10261093","387.25","387.25","0","0"
"126203330","10261094","350","350","0","0"
"111203240","10261095","1051","1051","0","0"
"211207682","10261096","899.8","899.8","0","0"
"211207685","10261097","693.9","693.9","0","0"
"211207683","10261098","1387.7999999999997","693.9","0","693.9"
"211207684","10261099","385","0","0","385"
"211207688","10261100","436.5","436.5","0","0"
"111207724","10261101","460.4","460.4","0","0"
"111207732","10261102","385","385","0","0"
"211207691","10261103","924.5","924.5","0","0"
"211207687","10261104","350","350","0","0"
"411203130","10261105","333.75","333.75","0","0"
"211207686","10261106","443.6","443.6","0","0"
"111207730","10261107","1430.5","1430.5","0","0"
"415201990","10261108","420","420","0","0"
"211207692","10261109","677.6","677.6","0","0"
"111207700","10261110","7162.8","3303","0","3859.8"
"111207715","10261111","625.65","625.65","0","0"
"111207704","10261112","5238.799999999999","5238.799999999999","0","0"
"116203500","10261113","1050","700","0","350"
"115203600","10261114","614","614","0","0"
"112203840","10261115","453.5","453.5","0","0"
"111203900","10261116","414","414","0","0"
"111203940","10261117","360.5","360.5","0","0"
"111203960","10261118","300","300","0","0"
"111203961","10261119","660","660","0","0"
"112203990","10261120","39410.8","39410.8","0","0"
"111207738","10261121","6069.45","5989.45","0","80"
"111203150","10261122","584","584","0","0"
"112204140","10261123","400","400","0","0"
"111204180","10261124","640","640","0","0"
