Bill_No,B_Code,Receivable,Collected,Adjustment,sequence
10261005,10,36.05,36.05,0,2590687
10261006,7,200,200,0,2586374
10261007,7,200,200,0,2586375
10261008,7,200,190,-10,2586376
10261008,10,19,19,0,2590688
10261009,7,226.75,226.75,0,2586377
10261010,3,220,0,0,2586379
10261010,7,200,200,0,2586378
10261010,10,20,20,0,2590689
10261011,7,440.75,440.75,0,2586380
10261011,10,44.1,44.1,0,2590690
10261012,7,200,200,0,2586381
10261012,10,20,20,0,2590691
10261013,7,414,414,0,2586382
10261014,7,360.5,360.5,0,2586383
10261014,10,36.05,36.05,0,2590692
10261015,7,387.25,387.25,0,2586384
10261016,7,200,200,0,2586385
10261016,10,20,20,0,2590693
10261017,7,360.5,360.5,0,2586386
10261017,10,36.05,36.05,0,2590694
10261018,7,200,200,0,2586387
10261019,7,280.25,280.25,0,2586388
10261020,3,586.95,586.95,0,2586390
10261020,7,846,846,0,2586389
10261021,3,511.15,0,0,2586392
10261021,7,771.25,771.25,0,2586391
10261021,10,77.15,77.15,0,2590695
10261022,7,307,307,0,2586393
10261022,10,30.7,30.7,0,2590696
10261023,7,414,414,0,2586394
10261024,7,200,200,0,2586395
10261024,10,20,20,0,2590697
10261025,7,1400.6,1400.6,0,2586396
10261025,10,90.1,90.1,0,2590698
10261026,7,200,200,0,2586397
10261027,7,200,200,0,2586398
10261027,10,20,20,0,2590699
10261028,7,307,307,0,2586399
10261028,10,30.7,30.7,0,2590700
10261029,7,200,200,0,2586400
10261030,3,367.15,367.15,0,2586402
10261030,7,387.25,387.25,0,2586401
10261030,10,38.75,38.75,0,2590701
10261031,7,771.25,771.25,0,2586403
10261031,10,77.15,77.15,0,2590702
10261032,7,280.25,280.25,0,2586404
10261033,7,200,200,0,2586405
10261034,3,1246.3,0,0,2586407
10261034,7,387.25,387.25,0,2586406
10261034,10,38.75,38.75,0,2590703
10261035,7,200,200,0,2586408
10261036,3,220,0,0,2586410
10261036,7,200,0,0,2586409
10261036,10,20,0,0,2590704
10261037,3,455.4,0,0,2586412
10261037,7,1493.4,0,0,2586411
10261037,10,149.35,0,0,2590705
10261038,3,484.85,0,0,2586414
10261038,7,467.5,467.5,0,2586413
10261038,10,46.75,46.75,0,2590706
10261039,7,200,200,0,2586415
10261039,10,20,20,0,2590707
10261040,3,278.85,0,0,2586417
10261040,7,414,414,0,2586416
10261040,10,41.4,41.4,0,2590708
10261041,3,220,220,0,2586419
10261041,7,200,200,0,2586418
10261041,10,20,20,0,2590709
10261042,7,703.75,703.75,0,2586420
10261043,7,200,200,0,2586421
10261044,3,551.4,551.4,0,2586423
10261044,7,636.25,636.25,0,2586422
10261044,10,63.65,63.65,0,2590710
10261045,3,426,0,0,2586425
10261045,7,280.25,280.25,0,2586424
10261045,10,28.05,28.05,0,2590711
10261046,7,200,200,0,2586426
10261047,3,734.25,0,0,2586428
10261047,7,226.75,0,0,2586427
10261047,10,22.7,0,0,2590712
10261048,7,307,307,0,2586429
10261049,7,414,414,0,2586430
10261049,10,41.4,41.4,0,2590713
10261050,7,636.25,636.25,0,2586431
10261050,10,63.65,63.65,0,2590714
10261051,7,670,636.5,-33.5,2586432
10261051,10,63.65,63.65,0,2590715
10261052,7,200,200,0,2586433
10261053,7,200,200,0,2586434
10261054,7,440.75,440.75,0,2586435
10261054,10,44.1,44.1,0,2590716
10261055,7,535,535,0,2586436
10261056,7,200,200,0,2586437
10261057,7,253.5,253.5,0,2586438
10261058,7,200,190,-10,2586439
10261059,7,253.5,253.5,0,2586440
10261060,7,280.25,280.25,0,2586441
10261061,3,220,0,0,2586443
10261061,7,200,200,0,2586442
10261061,10,20,20,0,2590717
10261062,7,307,291.65,-15.35,2586444
10261063,7,200,190,-10,2586445
10261064,7,200,200,0,2586446
10261065,3,396.55,396.55,0,2586448
10261065,7,280.25,280.25,0,2586447
10261065,10,28.05,28.05,0,2590718
10261066,3,440,440,0,2586450
10261066,7,280.25,280.25,0,2586449
10261067,3,930.6,0,0,2586452
10261067,7,846,846,0,2586451
10261067,10,84.6,84.6,0,2590719
10261068,7,200,200,0,2586453
10261068,10,20,20,0,2590720
10261069,3,557.7,557.7,0,2586455
10261069,7,200,200,0,2586454
10261069,10,20,20,0,2590721
10261070,3,793.1,793.1,0,2586457
10261070,7,280.25,280.25,0,2586456
10261070,10,28.05,28.05,0,2590722
10261071,7,703.75,703.75,0,2586458
10261072,7,307,307,0,2586459
10261073,7,200,200,0,2586460
10261074,7,1493.4,1493.4,0,2586461
10261075,3,414,414,0,2586463
10261075,7,440.75,440.75,0,2586462
10261076,3,805,805,0,2586465
10261076,7,805,805,0,2586464
10261077,3,1739.6,0,0,2586467
10261077,7,200,200,0,2586466
10261077,10,20,20,0,2590723
10261078,7,200,200,0,2586468
10261079,3,1156.1,0,0,2586470
10261079,7,887,887,0,2586469
10261079,10,88.7,88.7,0,2590724
10261080,7,200,200,0,2586471
10261081,3,691.3,691.3,0,2586473
10261081,7,440.75,440.75,0,2586472
10261082,3,337.7,337.7,0,2586475
10261082,7,307,307,0,2586474
10261082,10,30.7,30.7,0,2590725
10261083,7,805,805,0,2586476
10261084,7,414,393.3,-20.7,2586477
10261085,7,360.5,360.5,0,2586478
10261086,7,1539.8,1539.8,0,2586479
10261087,7,200,190,-10,2586480
10261087,10,19,19,0,2590726
10261088,3,320.85,320.85,0,2586482
10261088,7,200,190,-10,2586481
10261088,10,19,19,0,2590727
10261089,7,200,200,0,2586483
10261090,3,220,0,0,2586485
10261090,7,200,200,0,2586484
10261090,10,20,20,0,2590728
10261091,7,200,200,0,2586486
10261091,10,20,20,0,2590729
10261092,7,703.75,668.57,-35.18,2586487
10261093,7,387.25,387.25,0,2586488
10261094,7,350,350,0,2586489
10261095,7,1051,1051,0,2586490
10261096,7,818,818,0,2586491
10261096,10,81.8,81.8,0,2590730
10261097,7,630.8,630.8,0,2586492
10261097,10,63.1,63.1,0,2590731
10261098,3,693.9,0,0,2586494
10261098,7,630.8,630.8,0,2586493
10261098,10,63.1,63.1,0,2590732
10261099,7,350,0,0,2586495
10261099,10,35,0,0,2590733
10261100,7,396.8,396.8,0,2586496
10261100,10,39.7,39.7,0,2590734
10261101,7,460.4,460.4,0,2586497
10261102,7,350,350,0,2586498
10261102,10,35,35,0,2590735
10261103,3,436.5,436.5,0,2586500
10261103,7,443.6,443.6,0,2586499
10261103,10,44.4,44.4,0,2590736
10261104,7,350,350,0,2586501
10261105,7,333.75,333.75,0,2586502
10261106,7,443.6,443.6,0,2586503
10261107,3,1016.5,1016.5,0,2586505
10261107,7,414,414,0,2586504
10261108,3,220,220,0,2586507
10261108,7,200,200,0,2586506
10261109,7,677.6,677.6,0,2586508
10261110,3,3859.8,0,0,2586510
10261110,7,3303,3303,0,2586509
10261111,7,568.75,568.75,0,2586511
10261111,10,56.9,56.9,0,2590737
10261112,3,2678.2,2678.2,0,2586513
10261112,7,2560.6,2560.6,0,2586512
10261113,3,700,350,0,2586515
10261113,7,350,350,0,2586514
10261114,7,614,614,0,2586516
10261115,3,226.75,226.75,0,2586518
10261115,7,226.75,226.75,0,2586517
10261116,7,414,414,0,2586519
10261117,7,360.5,360.5,0,2586520
10261118,7,300,300,0,2586521
10261119,3,440,440,0,2586523
10261119,7,200,200,0,2586522
10261119,10,20,20,0,2590738
10261120,3,19218.2,19218.2,0,2586525
10261120,7,20192.6,20192.6,0,2586524
10261121,3,5433.2,5353.2,0,2586527
10261121,7,636.25,636.25,0,2586526
10261122,7,584,584,0,2586528
10261123,3,200,200,0,2586530
10261123,7,200,200,0,2586529
10261124,3,440,440,0,2586532
10261124,7,200,200,0,2586531
10261125,7,333.75,333.75,0,2586533
10261126,3,200,200,0,2586535
10261126,7,200,200,0,2586534
10261127,7,200,200,0,2586536
10261128,7,535,535,0,2586537
10261129,3,484.85,0,0,2586539
10261129,7,387.25,387.25,0,2586538
10261129,10,38.75,38.75,0,2590739
10261130,7,340.1,340.1,0,2586540
10261131,3,220,220,0,2586542
10261131,7,200,200,0,2586541
10261131,10,20,20,0,2590740
10261132,7,602.5,602.5,0,2586543
10261133,7,2235.8,2235.8,0,2586544
10261134,7,500.5,500.5,0,2586545
10261135,3,278.85,278.85,0,2586547
10261135,7,200,200,0,2586546
10261136,7,280.25,280.25,0,2586548
10261137,3,220,220,0,2586550
10261137,7,200,200,0,2586549
10261137,10,20,20,0,2590741
10261138,3,662.75,662.75,0,2586552
10261138,7,636.25,636.25,0,2586551
10261138,10,63.65,63.65,0,2590742
10261139,3,220,0,0,2586554
10261139,7,200,200,0,2586553
10261139,10,20,20,0,2590743
10261140,7,333.75,333.75,0,2586555
10261141,7,440.75,440.75,0,2586556
10261142,3,220,220,0,2586558
10261142,7,200,200,0,2586557
10261142,10,20,20,0,2590744
10261143,7,253.5,253.5,0,2586559
10261144,7,2309.2,2309.2,0,2586560
10261145,7,928,928,0,2586561
10261145,10,92.8,92.8,0,2590745
10261146,7,1637.5,1637.5,0,2586562
10261147,3,220,220,0,2586564
10261147,7,200,200,0,2586563
10261147,10,20,20,0,2590746
10261148,7,1051,1051,0,2586565
10261149,7,440.75,440.75,0,2586566
10261150,7,307,307,0,2586567
10261151,7,253.5,253.5,0,2586568
10261152,3,588.5,588.5,0,2586570
10261152,7,307,307,0,2586569
10261152,10,30.7,30.7,0,2590747
10261153,3,220,220,0,2586572
10261153,7,226.75,226.75,0,2586571
10261154,7,200,200,0,2586573
10261155,7,3840.4,3840.4,0,2586574
10261156,3,2503.45,0,0,2586576
10261156,7,660.9,0,0,2586575
10261156,10,66.1,0,0,2590748
10261157,7,300,300,0,2586577
10261158,7,280.25,280.25,0,2586578
10261159,7,636.25,636.25,0,2586579
10261160,7,360.5,360.5,0,2586580
10261161,7,387.25,387.25,0,2586581
10261161,10,38.75,38.75,0,2590749
10261162,7,414,414,0,2586582
10261163,7,226.75,226.75,0,2586583
10261164,3,220,220,0,2586585
10261164,7,200,200,0,2586584
10261165,7,602.5,602.5,0,2586586
10261165,10,60.25,60.25,0,2590750
10261166,7,333.75,333.75,0,2586587
10261166,10,33.4,33.4,0,2590751
10261167,3,1653.65,0,0,2586589
10261167,7,602.5,386.1,0,2586588
10261167,10,60.25,60.25,0,2590752
10261168,7,2986.8,2986.8,0,2586590
10261169,7,280.25,280.25,0,2586591
10261169,10,28.05,28.05,0,2590753
10261170,3,440,440,0,2586593
10261170,7,200,200,0,2586592
10261171,7,200,200,0,2586594
10261171,10,20,20,0,2590754
10261172,7,350,350,0,2586595
10261173,7,387.25,387.25,0,2586596
10261174,7,200,200,0,2586597
10261174,10,20,20,0,2590755
10261175,7,333.75,333.75,0,2586598
10261175,10,33.4,33.4,0,2590756
10261176,3,330,0,0,2586600
10261176,7,300,0,0,2586599
10261176,10,30,0,0,2590757
10261177,7,535,535,0,2586601
10261178,7,12452.4,12452.4,0,2586602
10261179,3,324.85,0,0,2586604
10261179,7,200,200,0,2586603
10261179,10,20,20,0,2590758
10261180,7,724.4,724.4,0,2586605
10261181,7,935,935,0,2586606
10261182,7,400,400,0,2586607
10261183,7,350,350,0,2586608
10261184,7,300,300,0,2586609
10261184,10,30,30,0,2590759
10261185,7,253.5,253.5,0,2586610
10261186,7,400,400,0,2586611
10261187,7,350,350,0,2586612
10261188,7,1092,1092,0,2586613
10261189,7,568.75,568.75,0,2586614
10261189,10,56.9,56.9,0,2590760
10261190,7,253.5,240.83,-12.67,2586615
10261191,7,771.2,771.2,0,2586616
10261191,10,77.15,77.15,0,2590761
10261192,7,253.5,253.5,0,2586617
10261192,10,25.35,25.35,0,2590762
10261193,7,253.5,253.5,0,2586618
10261194,7,200,200,0,2586619
10261194,10,20,20,0,2590763
10261195,7,200,200,0,2586620
10261196,7,771.25,771.25,0,2586621
10261196,10,77.15,77.15,0,2590764
10261197,7,350,350,0,2586622
10261198,7,350,350,0,2586623
10261199,7,453.5,453.5,0,2586624
10261199,10,45.35,45.35,0,2590765
10261200,3,220,0,0,2586626
10261200,7,200,200,0,2586625
10261200,10,20,20,0,2590766
10261201,7,300,300,0,2586627
10261202,7,1623.75,1623.75,0,2586628
10261203,7,935,935,0,2586629
10261204,7,200,200,0,2586630
10261205,3,396.55,396.55,0,2586632
10261205,7,414,414,0,2586631
10261205,10,41.4,41.4,0,2590767
10261206,3,930.6,0,0,2586634
10261206,7,1493.4,0,0,2586633
10261206,10,149.35,69.4,0,2590768
10261207,7,387.25,387.25,0,2586635
10261208,7,414,414,0,2586636
10261209,7,253.5,253.5,0,2586637
10261210,7,350,350,0,2586638
10261211,7,490.4,490.4,0,2586639
10261212,7,2020,2020,0,2586640
10261213,7,1231.35,1231.35,0,2586641
10261214,7,200,200,0,2586642
10261215,3,330,0,0,2586644
10261215,7,300,300,0,2586643
10261215,10,30,30,0,2590769
10261216,7,300,300,0,2586645
10261217,3,426,426,0,2586647
10261217,7,440.75,440.75,0,2586646
10261217,10,44.1,44.1,0,2590770
10261218,7,200,200,0,2586648
10261218,10,20,20,0,2590771
10261219,7,200,200,0,2586649
10261220,7,360.5,360.5,0,2586650
10261220,10,36.05,36.05,0,2590772
10261221,7,414,393.3,-20.7,2586651
10261221,10,39.35,39.35,0,2590773
10261222,7,360.5,342.48,-18.02,2586652
10261222,10,34.25,34.25,0,2590774
10261223,7,387.25,387.25,0,2586653
10261224,7,737.5,737.5,0,2586654
10261225,7,440.75,440.75,0,2586655
10261225,10,44.1,44.1,0,2590775
10261226,3,11027.5,300,0,2586657
10261226,7,253.5,0,0,2586656
10261227,3,469.45,469.45,0,2586659
10261227,7,200,200,0,2586658
10261227,10,20,20,0,2590776
10261228,7,226.75,226.75,0,2586660
10261228,10,22.7,22.7,0,2590777
10261229,7,200,200,0,2586661
10261230,7,200,190,-10,2586662
10261230,10,19,19,0,2590778
10261231,7,602.5,602.5,0,2586663
10261232,7,300,300,0,2586664
10261233,7,350,350,0,2586665
10261234,7,630.8,630.8,0,2586666
10261235,7,350,350,0,2586667
10261236,7,1610,1610,0,2586668
10261236,10,161,161,0,2590779
10261237,7,703.75,703.75,0,2586669
10261237,10,70.4,70.4,0,2590780
10261238,7,400,400,0,2586670
10261239,3,2041.6,0,0,2586672
10261239,7,1774,1774,0,2586671
