"55589","10261082","111202894","337.7"
"55590","10261083","111202900",NULL
"55591","10261084","111202920",NULL
"55592","10261085","111202940",NULL
"55593","10261086","111202980",NULL
"55594","10261087","111203000",NULL
"55595","10261088","111203020","320.85"
"55596","10261089","111207716",NULL
"55597","10261090","111203040","0"
"55598","10261091","111203060",NULL
"55599","10261092","113203100",NULL
"55600","10261093","111203140",NULL
"55601","10261094","126203330",NULL
"55602","10261095","111203240",NULL
"55603","10261096","211207682",NULL
"55604","10261097","211207685",NULL
"55605","10261098","211207683","0"
"55606","10261099","211207684",NULL
"55607","10261100","211207688",NULL
"55608","10261101","111207724",NULL
"55609","10261102","111207732",NULL
"55610","10261103","211207691","436.5"
"55611","10261104","211207687",NULL
"55612","10261105","411203130",NULL
"55613","10261106","211207686",NULL
"55614","10261107","111207730","1016.5"
"55615","10261108","415201990","220"
"55616","10261109","211207692",NULL
"55617","10261110","111207700","0"
"55618","10261111","111207715",NULL
"55619","10261112","111207704","2678.2"
"55620","10261113","116203500","350"
"55621","10261114","115203600",NULL
"55622","10261115","112203840","226.75"
"55623","10261116","111203900",NULL
"55624","10261117","111203940",NULL
"55625","10261118","111203960",NULL
"55626","10261119","111203961","440"
"55627","10261120","112203990","19218.2"
"55628","10261121","111207738","5353.2"
"55629","10261122","111203150",NULL
"55630","10261123","112204140","200"
"55631","10261124","111204180","440"
"55632","10261125","111204200",NULL
"55633","10261126","112204210","200"
"55634","10261127","111207699",NULL
"55635","10261128","111204280",NULL
"55636","10261129","111204290","0"
"55637","10261130","114204320",NULL
"55638","10261131","111204340","220"
"55639","10261132","111204420",NULL
"55640","10261133","111204510",NULL
"55641","10261134","114204520",NULL
"55642","10261135","111204570","278.85"
"55643","10261136","111204560",NULL
"55644","10261137","111204730","220"
"55645","10261138","111204620","662.75"
"55646","10261139","111203250","0"
"55647","10261140","111203120",NULL
"55648","10261141","111204700",NULL
"55649","10261142","111204720","220"
"55650","10261143","111204750",NULL
"55651","10261144","111207721",NULL
"55652","10261145","111207707",NULL
"55653","10261146","114204770",NULL
"55654","10261147","111204751","220"
"55655","10261148","111204624",NULL
"55656","10261149","111207722",NULL
"55657","10261150","111204760",NULL
"55658","10261151","111204710",NULL
"55659","10261152","111204940","588.5"
"55660","10261153","111204950","220"
"55661","10261154","123203320",NULL
"55662","10261155","111207705",NULL
"55663","10261156","114204964","0"
"55664","10261157","114205000",NULL
"55665","10261158","114205040",NULL
"55666","10261159","111205140",NULL
"55667","10261160","111205220",NULL
"55668","10261161","111205230",NULL
"55669","10261162","111205240",NULL
"55670","10261163","111205300",NULL
"55671","10261164","211207350","220"
"55672","10261165","111205310",NULL
"55673","10261166","111205340",NULL
"55674","10261167","111205341","0"
