Bill_No,Acct_No,Bill_Date,Due_Date,B_Status,MR_Sys_No,Due_Penalty,Penalized,M_Penalty
10260987,111200770,12-1-2018,12-16-2018,2,344723,28.05,0,1
10260988,111207737,12-1-2018,12-16-2018,2,344936,22.7,0,1
10260989,111200790,12-1-2018,12-16-2018,2,344725,46.75,0,1
10260990,111200800,12-1-2018,12-16-2018,2,344726,20,0,1
10260991,111200840,12-1-2018,12-16-2018,2,344731,28.05,1,1
10260992,111200810,12-1-2018,12-16-2018,2,344728,46.75,1,1
10260993,111200820,12-1-2018,12-16-2018,2,344729,30.7,0,1
10260994,111200830,12-1-2018,12-16-2018,2,344730,7.7,1,1
10260995,111200842,12-1-2018,12-16-2018,2,344732,25.35,1,1
10260996,111200870,12-1-2018,12-16-2018,2,344735,41.4,1,1
10260997,111200881,12-1-2018,12-16-2018,2,344736,20,0,1
10260998,111200882,12-1-2018,12-16-2018,2,344737,20,1,1
10260999,111200890,12-1-2018,12-16-2018,2,344738,20,1,1
10261000,111200900,12-1-2018,12-16-2018,2,344739,38.75,0,1
10261001,111200910,12-1-2018,12-16-2018,2,344740,46.75,1,1
10261002,111200920,12-1-2018,12-16-2018,2,344741,101,0,1
10261003,111200860,12-1-2018,12-16-2018,2,344734,41.4,1,1
10261004,111200850,12-1-2018,12-16-2018,2,344733,44.1,0,1
10261005,111200930,12-1-2018,12-16-2018,2,344742,36.05,1,1
10261006,111200931,12-1-2018,12-16-2018,2,344743,20,0,1
10261007,111200950,12-1-2018,12-16-2018,2,344745,20,0,1
10261008,111203190,12-1-2018,12-16-2018,2,344814,19,1,1
10261009,111200960,12-1-2018,12-16-2018,2,344746,22.7,0,1
10261010,111200961,12-1-2018,12-16-2018,2,344747,20,1,1
10261011,111200970,12-1-2018,12-16-2018,2,344748,44.1,1,1
10261012,111200980,12-1-2018,12-16-2018,2,344749,20,1,1
10261013,111200990,12-1-2018,12-16-2018,2,344750,41.4,0,1
10261014,111201040,12-1-2018,12-16-2018,2,344753,36.05,1,1
10261015,111201020,12-1-2018,12-16-2018,2,344751,38.75,0,1
10261016,111201030,12-1-2018,12-16-2018,2,344752,20,1,1
10261017,111207695,12-1-2018,12-16-2018,2,344902,36.05,1,1
10261018,111201060,12-1-2018,12-16-2018,2,344754,20,0,1
10261019,111201070,12-1-2018,12-16-2018,2,344755,28.05,0,1
10261020,111201080,12-1-2018,12-16-2018,2,344756,84.6,0,1
10261021,111201090,12-1-2018,12-16-2018,2,344757,77.15,1,1
10261022,111201100,12-1-2018,12-16-2018,2,344758,30.7,1,1
10261023,111201110,12-1-2018,12-16-2018,2,344759,41.4,0,1
10261024,111201120,12-1-2018,12-16-2018,2,344760,20,1,1
10261025,111201140,12-1-2018,12-16-2018,2,344761,90.1,1,1
10261026,111200940,12-1-2018,12-16-2018,2,344744,20,0,1
10261027,111201780,12-1-2018,12-16-2018,2,344764,20,1,1
10261028,111201790,12-1-2018,12-16-2018,2,344765,30.7,1,1
10261029,111201820,12-1-2018,12-16-2018,2,344766,20,0,1
10261030,111201760,12-1-2018,12-16-2018,2,344763,38.75,1,1
10261031,111201840,12-1-2018,12-16-2018,2,344767,77.15,1,1
10261032,111201860,12-1-2018,12-16-2018,2,344768,28.05,0,1
10261033,111201890,12-1-2018,12-16-2018,2,344769,20,0,1
10261034,111201920,12-1-2018,12-16-2018,2,344770,38.75,1,1
10261035,111207728,12-1-2018,12-16-2018,2,344928,20,0,1
10261036,111201940,12-1-2018,12-16-2018,2,344771,20,1,1
10261037,111207701,12-1-2018,12-16-2018,2,344906,149.35,1,1
10261038,111202060,12-1-2018,12-16-2018,2,344772,46.75,1,1
10261039,111203311,12-1-2018,12-16-2018,2,344821,20,1,1
10261040,111207714,12-1-2018,12-16-2018,2,344916,41.4,1,1
10261041,111202100,12-1-2018,12-16-2018,2,344773,20,1,1
10261042,111202110,12-1-2018,12-16-2018,2,344774,70.4,0,1
10261043,111202140,12-1-2018,12-16-2018,2,345007,20,0,1
10261044,111207702,12-1-2018,12-16-2018,2,344907,63.65,1,1
10261045,120203310,12-1-2018,12-16-2018,2,344986,28.05,1,1
10261046,111202180,12-1-2018,12-16-2018,2,344775,20,0,1
10261047,111202200,12-1-2018,12-16-2018,2,344776,22.7,1,1
10261048,111202210,12-1-2018,12-16-2018,2,344777,30.7,0,1
10261049,111202220,12-1-2018,12-16-2018,2,344778,41.4,1,1
10261050,111207694,12-1-2018,12-16-2018,2,344901,63.65,1,1
10261051,111202270,12-1-2018,12-16-2018,2,344779,63.65,1,1
10261052,111207727,12-1-2018,12-16-2018,2,344927,20,0,1
10261053,111202300,12-1-2018,12-16-2018,2,344780,20,0,1
10261054,111202310,12-1-2018,12-16-2018,2,344781,44.1,1,1
10261055,111202340,12-1-2018,12-16-2018,2,344782,53.5,0,1
10261056,111202360,12-1-2018,12-16-2018,2,344783,20,0,1
10261057,111202370,12-1-2018,12-16-2018,2,344784,25.35,0,1
10261058,111202400,12-1-2018,12-16-2018,2,344785,20,0,1
10261059,111202440,12-1-2018,12-16-2018,2,344786,25.35,0,1
10261060,211207090,12-1-2018,12-16-2018,2,344989,28.05,0,1
10261061,111202470,12-1-2018,12-16-2018,2,344787,20,1,1
10261062,314205676,12-1-2018,12-16-2018,2,345001,30.7,0,1
10261063,111202540,12-1-2018,12-16-2018,2,344788,20,0,1
10261064,111200801,12-1-2018,12-16-2018,2,344727,20,0,1
10261065,111202550,12-1-2018,12-16-2018,2,344789,28.05,1,1
10261066,111202560,12-1-2018,12-16-2018,2,344790,28.05,0,1
10261067,111202580,12-1-2018,12-16-2018,2,344791,84.6,1,1
10261068,111202600,12-1-2018,12-16-2018,2,344792,20,1,1
10261069,117203300,12-1-2018,12-16-2018,2,344985,20,1,1
10261070,111202620,12-1-2018,12-16-2018,2,344793,28.05,1,1
10261071,111202670,12-1-2018,12-16-2018,2,344795,70.4,0,1
10261072,111203312,12-1-2018,12-16-2018,2,344822,30.7,0,1
10261073,114204150,12-1-2018,12-16-2018,2,344965,20,0,1
10261074,112202700,12-1-2018,12-16-2018,2,344940,149.35,0,1
10261075,112202710,12-1-2018,12-16-2018,2,344941,44.1,0,1
10261076,112202720,12-1-2018,12-16-2018,2,344942,80.5,0,1
10261077,111203280,12-1-2018,12-16-2018,2,344819,20,1,1
10261078,111202650,12-1-2018,12-16-2018,2,344794,20,0,1
10261079,111202840,12-1-2018,12-16-2018,2,344796,88.7,1,1
10261080,111202860,12-1-2018,12-16-2018,2,344797,20,0,1
10261081,111202880,12-1-2018,12-16-2018,2,344798,44.1,0,1
10261082,111202894,12-1-2018,12-16-2018,2,344799,30.7,1,1
10261083,111202900,12-1-2018,12-16-2018,2,344800,80.5,0,1
10261084,111202920,12-1-2018,12-16-2018,2,344801,41.4,0,1
10261085,111202940,12-1-2018,12-16-2018,2,344802,36.05,0,1
10261086,111202980,12-1-2018,12-16-2018,2,344803,154,0,1
10261087,111203000,12-1-2018,12-16-2018,2,344804,19,1,1
10261088,111203020,12-1-2018,12-16-2018,2,344805,19,1,1
10261089,111207716,12-1-2018,12-16-2018,2,344918,20,0,1
10261090,111203040,12-1-2018,12-16-2018,2,344806,20,1,1
10261091,111203060,12-1-2018,12-16-2018,2,344807,20,1,1
10261092,113203100,12-1-2018,12-16-2018,2,344951,70.4,0,1
10261093,111203140,12-1-2018,12-16-2018,2,344809,38.75,0,1
10261094,126203330,12-1-2018,12-16-2018,2,344988,35,0,1
10261095,111203240,12-1-2018,12-16-2018,2,344817,105.1,0,1
10261096,211207682,12-1-2018,12-16-2018,2,344991,81.8,1,1
10261097,211207685,12-1-2018,12-16-2018,2,344994,63.1,1,1
10261098,211207683,12-1-2018,12-16-2018,2,344992,63.1,1,1
10261099,211207684,12-1-2018,12-16-2018,2,344993,35,1,1
10261100,211207688,12-1-2018,12-16-2018,2,344997,39.7,1,1
10261101,111207724,12-1-2018,12-16-2018,2,344924,46.05,0,1
10261102,111207732,12-1-2018,12-16-2018,2,344931,35,1,1
10261103,211207691,12-1-2018,12-16-2018,2,344998,44.4,1,1
10261104,211207687,12-1-2018,12-16-2018,2,344996,35,0,1
10261105,411203130,12-1-2018,12-16-2018,2,345002,33.4,0,1
10261106,211207686,12-1-2018,12-16-2018,2,344995,44.4,0,1
10261107,111207730,12-1-2018,12-16-2018,2,344929,41.4,0,1
10261108,415201990,12-1-2018,12-16-2018,2,345003,20,0,1
10261109,211207692,12-1-2018,12-16-2018,2,344999,67.8,0,1
10261110,111207700,12-1-2018,12-16-2018,2,344905,330.3,0,1
10261111,111207715,12-1-2018,12-16-2018,2,344917,56.9,1,1
10261112,111207704,12-1-2018,12-16-2018,2,344909,256.1,0,1
10261113,116203500,12-1-2018,12-16-2018,2,344984,35,0,1
10261114,115203600,12-1-2018,12-16-2018,2,344979,61.4,0,1
10261115,112203840,12-1-2018,12-16-2018,2,344943,22.7,0,1
10261116,111203900,12-1-2018,12-16-2018,2,344824,41.4,0,1
10261117,111203940,12-1-2018,12-16-2018,2,344825,36.05,0,1
10261118,111203960,12-1-2018,12-16-2018,2,344826,30,0,1
10261119,111203961,12-1-2018,12-16-2018,2,344827,20,1,1
10261120,112203990,12-1-2018,12-16-2018,2,344944,2019.3,0,1
10261121,111207738,12-1-2018,12-16-2018,2,344937,63.65,0,1
10261122,111203150,12-1-2018,12-16-2018,2,344810,58.4,0,1
10261123,112204140,12-1-2018,12-16-2018,2,344945,20,0,1
10261124,111204180,12-1-2018,12-16-2018,2,344828,20,0,1
10261125,111204200,12-1-2018,12-16-2018,2,344829,33.4,0,1
10261126,112204210,12-1-2018,12-16-2018,2,344946,20,0,1
10261127,111207699,12-1-2018,12-16-2018,2,344904,20,0,1
10261128,111204280,12-1-2018,12-16-2018,2,344830,53.5,0,1
10261129,111204290,12-1-2018,12-16-2018,2,344831,38.75,1,1
10261130,114204320,12-1-2018,12-16-2018,2,344966,34.05,0,1
10261131,111204340,12-1-2018,12-16-2018,2,344832,20,1,1
10261132,111204420,12-1-2018,12-16-2018,2,344833,60.25,0,1
10261133,111204510,12-1-2018,12-16-2018,2,344834,223.6,0,1
10261134,114204520,12-1-2018,12-16-2018,2,344967,50.05,0,1
10261135,111204570,12-1-2018,12-16-2018,2,344836,20,0,1
10261136,111204560,12-1-2018,12-16-2018,2,344835,28.05,0,1
10261137,111204730,12-1-2018,12-16-2018,2,344842,20,1,1
10261138,111204620,12-1-2018,12-16-2018,2,344837,63.65,1,1
10261139,111203250,12-1-2018,12-16-2018,2,344818,20,1,1
10261140,111203120,12-1-2018,12-16-2018,2,344808,33.4,0,1
10261141,111204700,12-1-2018,12-16-2018,2,344839,44.1,0,1
10261142,111204720,12-1-2018,12-16-2018,2,344841,20,1,1
10261143,111204750,12-1-2018,12-16-2018,2,344843,25.35,0,1
10261144,111207721,12-1-2018,12-16-2018,2,344921,230.95,0,1
10261145,111207707,12-1-2018,12-16-2018,2,344912,92.8,1,1
10261146,114204770,12-1-2018,12-16-2018,2,344968,163.75,0,1
10261147,111204751,12-1-2018,12-16-2018,2,344844,20,1,1
10261148,111204624,12-1-2018,12-16-2018,2,344838,105.1,0,1
10261149,111207722,12-1-2018,12-16-2018,2,344922,44.1,0,1
10261150,111204760,12-1-2018,12-16-2018,2,344845,30.7,0,1
10261151,111204710,12-1-2018,12-16-2018,2,344840,25.35,0,1
10261152,111204940,12-1-2018,12-16-2018,2,344846,30.7,1,1
10261153,111204950,12-1-2018,12-16-2018,2,344847,22.7,0,1
10261154,123203320,12-1-2018,12-16-2018,2,344987,20,0,1
10261155,111207705,12-1-2018,12-16-2018,2,344910,384.05,0,1
10261156,114204964,12-1-2018,12-16-2018,2,344969,66.1,1,1
10261157,114205000,12-1-2018,12-16-2018,2,344970,30,0,1
10261158,114205040,12-1-2018,12-16-2018,2,344971,28.05,0,1
10261159,111205140,12-1-2018,12-16-2018,2,344848,63.65,0,1
10261160,111205220,12-1-2018,12-16-2018,2,344849,36.05,0,1
10261161,111205230,12-1-2018,12-16-2018,2,344850,38.75,1,1
10261162,111205240,12-1-2018,12-16-2018,2,344851,41.4,0,1
10261163,111205300,12-1-2018,12-16-2018,2,344852,22.7,0,1
10261164,211207350,12-1-2018,12-16-2018,2,344990,20,0,1
10261165,111205310,12-1-2018,12-16-2018,2,344853,60.25,1,1
10261166,111205340,12-1-2018,12-16-2018,2,344854,33.4,1,1
10261167,111205341,12-1-2018,12-16-2018,2,344855,60.25,1,1
10261168,111207733,12-1-2018,12-16-2018,2,344932,298.7,0,1
10261169,111207693,12-1-2018,12-16-2018,2,344900,28.05,1,1
10261170,111207735,12-1-2018,12-16-2018,2,344934,20,0,1
10261171,111207734,12-1-2018,12-16-2018,2,344933,20,1,1
10261172,113205350,12-1-2018,12-16-2018,2,344952,35,0,1
10261173,111205351,12-1-2018,12-16-2018,2,344856,38.75,0,1
10261174,111205360,12-1-2018,12-16-2018,2,344857,20,1,1
10261175,111205370,12-1-2018,12-16-2018,2,344858,33.4,1,1
10261176,114205400,12-1-2018,12-16-2018,2,344972,30,1,1
10261177,111205410,12-1-2018,12-16-2018,2,344859,53.5,0,1
